autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Papillon EKQ,"Toronto, Canada","Kind of a touristy spot; would not call it a Museum, after all why not?! Where on earth can we physically be at the  centre of the Equator within an hour by car from Old Town Quito! I considered this excursion fun & interactive. Our local guide at this museum (under the sun) is", September 2017,A touristy site yet a must go!!!
djcook_12,"Solvay, New York","Our driver suggested we go to the museum before we go to the equator monument, so we stopped here to visit.  The museum has tours which are pretty quick that show different ""experiments"" as it relates to the equator.  It's very fun for adults and kids.  In addition, they have", December 2017,Great Museum
mleganoa,"Miami, Florida","This was a great museum. The staff was extremely polite, helpful and friendly. It is a guided tour but moves rather quickly. Very hands on and keeps you interested. You can straddle the line of the two hemispheres here. Great photo opportunities. Definitely go visit ", December 2017,Great Museum 
Rod M,"London, United Kingdom","Great, amusing, informative guides, here! This is more than a spot marking a symbolic line on the globe: there's local lore, history, practical, ""scientific"" and fun exhibits.   Headhunters, walk a straight line... and can you balance a raw egg  on its end on the head of a nail?", December 2017,The 'real' thing... and entertaining
JLWK2015,"Ponte Vedra Beach, Florida","This  museum was set up as a fun experience of the impact of the equator. We  enjoyed all of the  activities and  our  guide. We tried to balance an egg on the  head of a nail and  were unsuccessful, but our  guide could  do it", December 2017,Fun museum and experience
rcs67,"Minneapolis, Minnesota","My husband and I wanted to go to the Equator, and our local guide from Quito drove us to the Intinan Museum.   Our museum guide was great, working with a group of people of various ages and different levels/backgrounds in English.   Much of the museum is interesting and", April 2017,"SO MUCH FUN! (And we learned things, too.)"
Mar R,,"It's about an hour away from Old Town Quito, but definitely worth the drive. You can take a public bus and walk about 10 mins or find a tour that will provide transportation. You pay the entrance fee and a fantastic tour is included. They have English-speaking tour guides.", December 2017,Must do
TheOCfromBigD,"Dallas, TX","The tour guide was very informative and spoke good English. The tour allowed for audience participation which made it fun. We did experiments with water flow on the equator line vs the two different hemispheres, balanced an egg on the tip of a nail, and walked on the equatorial", December 2017,Great tour & learned more about the equator
Michelange M,,So 200 feet away from the big equator monument is this super nice museum that claim (with gos measurement) that the actual equator line goes their property. Honestly i like intiman better that the bigger government run site. The gvmnt run monument is like being in Disney.. its, December 2017,The other equator. 
Discerning Buyer,"Calgary, Canada",I really enjoyed the sideways globe discussion and the north/south of the equator sky chart. This is one of several equator sites near Quito.  Each are different.  I bought the globe (plastic ball) package for $20 to help support the facility., December 2017,More interesting than I expected
Susan L,"Stockholm, Sweden","This park is more of a Indian culture site. The equator line was moved 240 meters to this site after a GPS measuring by the Ecuadorean military later in the 20th century. You finde the French monument in the park next to this park and the entry fee is 7,50$ to se the monument", November 2017,Better then the France park.....
TPN10,"Quito, Ecuador",Do see the real Latitude zero! The guides at this museum will show you where the real Equator is and you'll see very interesting experiments that explain what being at this latitude means. Do not miss it!, May 2017,The real Equator Line
Chinapjs,"Washington DC, District of Columbia",They make you true believers that this is the true point 00 00 of the equator.  Outstanding exhibition of Indigenous populations (including shrunken heads and monuments and exhibits of the tribes.  Excellent explanation about the equator with great photo opportunities, December 2017,The place to go for the Equator tour and photo
LoftyVictoria,Toronto,This was a great experience and we also had a good guide. They certainly get visitors involved with activities related to being on the equator.  I love the stamp for our passport (don't forget to take yours!), November 2017,Lots to Do and See
AV_StL,"Saint Louis, Missouri","This may not be the monument Mitad del Mondo is, but this park is so charming.  The guide leads you through the whole experience to really help you understand what being on the equator means.  Take your photos at the monument, but don't miss the short walk to the Intinan Museum", November 2017,worth the effort
Jemma T,,Had a great time here! Ronaldo was our tour guide and he was great! We are learning Spanish and he helped us a lot by speaking very clearly and being very knowledgable and enthusiastic (you can get a tour in English as well) - we learned a lot about Ecuador! Muchas gracias a, December 2017,Ronaldo! 
Helgi I,"Toronto, Canada","As I explained in my other review how to get there by bus (please read my review for Mitad Del Mundo). On the right of Mitad del Mundo complex, you can find competing museum called  Intinan Solar Museum, that says they are the real equator museum. Cost $4 to get the guide. But", November 2017,Compeeting Museum claiming to be actually located on the equator:)
Marcia G,"Strathmore, Canada",This was real interesting.  As we're I come from we don't have the closeness of an equator.  All information was quite interesting and to belive that you are on the equator., November 2017,Equador equator
Jaime Guzman,"Quito, Ecuador","The guide is like a speaking recording machine, not interactive at all. The museum has been given a natural feature, not even earned. They are only showing details of what being in the middle of the world means. We came with Ecuadorians too and there is no special fee for them,", November 2017,They lack of commitment to spread Ecuadorian Culture 
La_Jungala,"Summerville, South Carolina","This is the true center of the earth. Although the commercialized Mitad del Mundo receives top billing, this is also very interesting and where you really need to have your picture taken You will receive a guided tour and will learn things that are not brought out at the", November 2017,True Center!
FLBuckeye93,"St. Petersburg, Florida",Mitad del Mundo is fun but this is the real equator! I was so impressed with our guide and the information I learned doing experiments on the equator. This is a must do when visiting Quito. , November 2017,Have to go!
PeterW2804,"Witney, United Kingdom",Not just a monument. Fun displays and games based on the equator location. Far less busy than the main monument and museum - which is in the wrong place anyway?, November 2017,Fun visit to the Equator
mayoWestOfIreland,west of ireland,"Very interesting museum to view here, shrunken heads, weaponry  and  lots more from centuries ago, lots of information from the guides and fun tasks to do to see how well you balance at the middle of the world!", October 2017,Middle of the world!
Dzr MD,"Tampa, Florida","Yes, you too can walk the line -- the actual equatorial line dividing the Northern and Southern Hemispheres. Check your smartphone's compass/GPS while you're there and will register very close to 000 latitude, which is pretty cool for us science folks.  It was also interesting", November 2017,I walked the line
ella5a,"San Jose, California",This is a fun attraction just outside of Quito.  There are some interactive activities and exhibits that depict native culture.  The site runs a tour that takes about 30 minutes.  Straddling the equator was fun! A bucket list item.  A nice way to spend an hour., April 2017,Stradle the Equator
Vicente A,"Quito, Ecuador","You´ll experience the phenomenoms of being in the middle of the world, forces, sun position, balance an egg on a nail to mention some.", September 2017,Very Fun and educational
Nick S,"Totton, United Kingdom",Take some of the facts surrounding the equator with a pinch of salt and you will have great fun at this museum. The guide was very playful and full of facts some believable and some not so but take it in your stride and you will enjoy. They also stamp your passport with Latitude, November 2017,Great fun
planestrainsboats,"Prairie Village, Kansas","The museum has hands on teaching stations throughout that teach about gravity at the equator and on either side.  Great when traveling with students or families with kids.  Llamas to pet, shrunken heads o see, bananas fresh off the tree, you can stand with one foot on each", April 2017,Fantastic museum at the Equator!
Beverley C,,Fantastic experience and well worth a visit. Interesting scientific information and the member staff was very lnformative , November 2017,Morning trip
Rita C,,"This museum has exhibits on the Waorani, replicas of rainforest animals and reptiles, and a real shrunken head. A guide also explains the science of the solstices and the calendar AS WE STOOD DIRECTLY ON THE EQUATOR. We learned so much!", November 2017,Informative
Pamela C,"Clarksburg, Maryland","This place is amazing! It has information from the process of shrinking heads (with a couple of real examples), to how natives lived, to tropical plants and totems. We got to stand over the official Eguator with our feet stradled in each hemisphere at once. We learned how to", October 2017,Great Variety of Information!
Cecilia R,"Stockholm, Sweden","After paying 3.5$ for entering the equator monument ""park"" basically for just taking photos of the monument we exited the park, took left on the street and walked 200m to the Intinan museeum as we knew that the equator would be there. Really easy to find and it was worth the 4$", November 2017,Nice tour on the real equator
LDL007,"Dallas, Texas","If you're pressed for time, skip Mitad del Mundo and go here instead.  Not only will you get to see the real equator as measured precisely by GPS (the one at Mitad del Mundo is off by around 200 meters), but the museum here is much more interesting and informative.  In addition", October 2017,The real equator
Carmencita222,"Los Angeles, California","First and foremost, this is not a short ride from Quito, so be prepared. We utilized a 'Free Walking Tour' company based out of a hostel in Old Town which cost $10 USD per person round trip. Highly recommended to do something like this. There were no cabs waiting around for", October 2017,Really cool to put one foot on each side of the Hemisphere...
Patricia N,"Birmingham, United Kingdom","Visited today and had a great time, our guide was very informative. Demonstrations are used to show the difference between the 2 hemispheres. You also get to see the traditional customs of the Andean people. Well worth a visit", October 2017,The Real Equator 
Steph S,"Sydney, Australia",Fun museum with cool demonstrations to show what happens on either side of the equator. Good English speaking guides who make it enjoyable for all ages. Guides are included with the $4 entry fee! Would definitely recommend it., October 2017,"Fun, informative museum for all ages!"
Sue H,Canada,This is a great museum and surprisingly interactive. We enjoyed having Paula show us around. She was very well informed and made the tour fun. This is where the marker for the ‘true’ equator line is located. And who would have thought that you can balance an egg on the head of a, October 2017,Wonderful museum with a very friendly knowledgeable guide
awardemmy,"Ghent, Belgium","This museum is great, we really had fun here. The guides explain everything perfectly, you actually learn something here. The museum is very nicely decorated, good choice to come here.", October 2017,Real equator - fun museum
JFsB,"Fairfield, Connecticut","Had no expectations for this tour, but I was able to stand on both sides of the equator, balance an egg and see the water drain both counter clock wise and clock wise.  All I could have asked for!", October 2017,Got What I Wanted
Katrina H,,Lots of interesting information about the indigenous tribes from the area including the old craft of head shrinking! The guide showed us some interactive experiments on the equator line illustrating the effects of gravity at the equator., September 2017,Fascinating museum on the equator line.
Igor I,"Plano, Texas",Little bit corny but overall nice experience Friendly guide . Some very basic introduction to ingenious life stile A lot of fun flying with water around equator line Much better that big center near by  , October 2017,Nice small museum
Ian M,"Tahoe City, California","The trip seemed a little gimmicky but it was really fun.  Lots of unusual things at the equator that you can't do anywhere else - balance an egg on a nail head, watch water drain in different directions, fall off the equator line, Have your picture taken with a foot in each", September 2017,Fun and Games at the Equator! Well worth the trip.
wbsnider69,,it's a good half hour bus ride to this museum but well worth the trip.  the guides are knowledgable and engaging.  the tour takes approximately 45 minutes. You can have your passport stamped with an Equator stamp., September 2017,the equator
Fabiola F,"Miami, Florida","Loved all the experiments on the Ecuador line, so much fun! Gorgeous outdoor setting and very interesting tour. Take your passport to get a middle of the world stamp.", September 2017,What a great experience
nixsa777,"Cape Town, South Africa",It may come across as a bit touristy but take time to discover more about the pre-Colombian cultures who stayed in the region. It really is interesting to see the experiments based on the equatorial line. Enjoyed it more than I expected to. , October 2017,Fascinating time spent here
ThatAneAdventure2017,"Spokane, Washington",We really enjoyed the museum here. The tour is included in the price of the entrance. It was informative and fun. In addition they had a few cool activities which we enjoyed. Skip the other place and go here!, September 2017,The real Mitad del Mundo!
ReneeTravelTheWorld,"San Rafael, California","This was really a fun place to visit with our kids. It was fun to be at the ""center of the world"" and they have a nice guided tour. We were very glad we did this during our one day tour of Quito.", July 2017,Perfect Day Trip from Quito....LOVED IT
Dionisio Ismael M,,"I had a couple of hour between meetings while attending some business conferences and this was the only place I got to visit in Quito. I enjoyed the tour, the explanations and the design or the different areas at the museum. I learned on gravity and how it works at the center of", September 2017,"Educational, interesting, well structured and unique"
JLDB007,"Tessenderlo, Belgium","Motivated people here telling the story of the Ecuadorian historic way of living. Interesting and suprising facts about the ""mirror of the world"" and practical tricks to do to experience and understand the Equatorial phenomenon! Lovely to do with children.", October 2017,Funny but interesting museum
Joel L,"Saint Paul, Minnesota",This museum has more than just a monument about being at the equator.  It has some interesting displays about the animals and early peoples of Ecuador.  It has a new building built by local people and an original home/workshop. You get a guide to tell you about the different, September 2017,Learn about Ecuador and see the equator
Alice W,"Rough and Ready, California",Fun trip and obligatory photo op on the equator. Our guide at the museum made the visit especially fun and informative. Be sure to take your passport along so you can get it stamped there., September 2017,Must do Equator stop
mcladley,"Manchester, United Kingdom",Pleasantly surprised. It was fairly quick and a touch gimmicky but the guide was very good and funny. I'd recommend it! , September 2017,Good fun 
Sam w,,"For a mere $4, you can have a guided tour of this site. The tour starts with an explanation of indigenous culture and it's brief. You will have a chance to photograph yourself at the exact location of the equator, 0° latitude. Visitors are also shown some cute natural effects of", September 2017,Nice visit to the exact equator
pugluvrNewYork,new york,"This was an amazing stop on our visit to Ecuador.  Very educational.  The experiments were informative & educational.  We balanced an egg on the equator, saw how water drains in the different hemispheres.  We also faced the challenges of walking on the equator line.  The gift", July 2017,Very unique place
Aussietriptraveller,Sydney Australia,This site has several interesting things to see. The tour is interesting and the equator experiments fun., August 2017,Quite fun
Carol M,"Frederick, Maryland","Had a great afternoon here learning all about the Ecuador, Chocolate and life in South American. Great Place to include as you start your trip!", June 2017,Great afternnoon
retrolilly,"Greater Manchester, United Kingdom","Had a good trip here, was fun and cheap and of course you get the obligatory photo on the lattitude line, not to mention the stamp in which our passport, so worth taking with you. Was interesting looking at the different way the water reacts down the plug hole on the opposite", September 2017,"Fun cheap trip, obligatory photo on the line!"
BobCv,Northern Ireland,Experiments good but the rest was not particularly interesting. An exception was the talk on chocolate procesd , September 2017,Short stop. 
greattripsrw,,"Our travel planner, Kuoda Travel, recommended this activity to us for our visit to Quito. We had a private guide take us to the 'Middle of the World' museum on the equator. On the premises are several shops with colorful textiles and other souvenirs, educational displays of", June 2017,"Fun visit, balance a raw egg on a nail!"
Cynthia P,"San Jose, California",We enjoyed the visit to this beautiful reserve.  The vegetation was varied and interesting and the hummingbirds were amazing.   Our guide was excellent and explained the features of various plants., July 2017,Touristy Attraction
Olivia S,"London, United Kingdom",I'm not one for super touristy things but this tour was really interesting! I learnt so much about the equator and what happens both north and south of the equator (shown through a number of experiments which I won't spoil for you).  This is infact THE actual centre of the world, September 2017,Go it's brilliant
JennyGonsalves,"Houston, Texas",A thrill!  Our guide was awesome and this is a must do.  A fun  place to visit and learn.  We also learnt lots about cocoa and making chocolate., August 2017,A must do!
Dez,"Sunshine Coast, Australia",Had a great tour guide who was very informative and passionate about his culture and the history of the tribes. Very interesting to know about the shrunken heads and also do the egg challenge. My husband became an egg master and got a certificate. Was cool to walk on the middle, September 2017,Great tour guide 
cbun08,"Camarillo, California","There are various places to visit along the equator that I'd recommend and this is one of them. It's a bit more commercially, designed specifically for tourists but still very interesting and very very worth while. Our guide did an amazing job teaching us about the history of", September 2017,One of a few must have experienced in Ecuador
B W,,The guided tour was very informative and the experiments were fun to try.  We not only learned about the equator but also the history of Ecuador.  , August 2017,Fun place to visit
Anna C,,Our guide left part way through the tour when questioned about a very questionable demonstration of Coriolis Effect. Not the true equator anyway. Avoid., August 2017,Gimicky and unprofessional
Mark H,"Gunsan, South Korea",I wouldn’t call it a museum as much as a tourist trap.  The guides are friendly and the exhibits are somewhat informative but I wouldn’t recommend making this place a special destination.  , August 2017,Only go to burn time
Alvin Brown,"Houston, Texas",Just a fun place to visit and has so much history there and this is something you and the family can enjoy together. You have both English and Spanish tours and they give you a brief history about it. Lots of interesting things to see and just enjoy. Ad you also get to learn, August 2017,"""Just a good afternoon place to visit"""
Deewee32,"Vancouver, Canada","There is lots to see here.  A private guide will walk you through the exhibits with opportunity for equator pics everywhere.  There are also a number of cool science experiments that you participate in, proving the forces that exist at the equator.", August 2017,Fun but very touristy
BelindaJA,"Port Saint Lucie, Florida","This is the ""modern"" equator- determined by GPS to be the actual equator. You take a tour and get to do fun things like trying to balance an egg on the head of a nail- not easy to do! You also learn about the indigenous people of the area. ", July 2017,Fun place to visit
sunshine918107,"Buenos Aires, Argentina",When in Quito we went to visit this museum located at the very spot where the earth is at 000º degrees latitude., July 2017,Interesting to visit
Bernhard L,"Vienna, Austria","This has been one of the most amazing visits during my two weeks in Ecuador. Located just a few minutes drive from ""Mitad del Mundo"", Inti Nan is a MUST-SEE. You will experience interesting experiments on as well as to the north and to the south of the equator line. I was", July 2017,MUST-SEE and MUST-VISIT
504to593,"New Orleans, Louisiana","I honestly prefer Museo de Intinan over Mitad del Mundo, because there is a guided tour available if you want (both Spanish and English-speaking, as far as I know and I felt the guide was really knowledgable) and its more interactive. The museum not only covers why its the", August 2017,A definite visit- bring your passport!
Doreen R,Arequipa,We had a great guide here and call me a nerd but standing on the 000 Latitude line was so exciting! Learning about the indigenous peoples was very informative., August 2017,Loved the Interaction!
Farrah H,Alabama,"We stopped at the Intian Museum on our way back to Quito from Mindo. It was such a neat museum with a wonderful English tour. The experiments were really cool, too.", August 2017,A really great tour!
erricotrip,"London, United Kingdom",This is not the first place you would visit in Quito. It is worth going just if you have many days and some time to waste. It is cheap and there is a guide. You will learn a few things about the equator. It can be interesting to go with children, May 2017,"If you have many days in Quito, it can be worth a visit"
Leslie L,"Cartagena, Colombia","I loved this tour! Definitely an interesting one and you learn so many cool facts about Ecuador and the altitude and why it's considered the middle of the world, sadly I forget my tour guides name but she was a female who knew her facts! Something you should do if given the", August 2017,Awesome! 
Shiri Z,,"This where the real line go through, so it is quite interesting to see all the unique phenomenons in this place, ", July 2017,This is where the real line go through
Boanxi,"Al Jubail, Saudi Arabia","While this museum is worth a visit, it is not a great way to learn about local culture. Local artifacts that are worth seeing, like a shrunken head and an Amazonian house are mixed together with items from Mexico, Hawaii and Indonesia with no signs explaining this. Some of the", July 2017,More like a curio shop than a museum
AltairVega85,"San Diego, California","you get to learn about ecuatorian tribes and history and do little experiments and tricks at the actual ecuator line! fun, interactive, pleasant, would recommend it to anyone and im pretty sure kids would enjoy it as well. ", July 2017,fun museum!
Juan T,,"Anytime i have a friend form outside Ecuador, i bring them here. Its a unique experience, being on the middle of the world and also getting a tour through a well mantained museum with very nice details of Ecuador. Totally recommend visiting it even if you are Ecuadorean.", May 2017,Really cool museum and experience
